School,G,W,STL,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,FG%,BLK,TOV,PF,,,,,,,
St. John's (NY) NCAA,34,21,302,7.88,5.5,2623,2542,1375,944,2100,289,809,0.357,446,620,0.719,264,1120,472,0.45,111,357,650,,,,,,,
Valparaiso,33,15,202,-3.38,-1,2205,2187,1335,802,1783,185,585,0.316,416,595,0.699,294,1115,431,0.45,101,439,546,,,,,,,
Troy,30,12,171,-6.12,-1.01,2179,2242,1210,773,1719,236,704,0.335,397,550,0.722,277,1021,392,0.45,135,408,523,,,,,,,
Presbyterian,36,20,214,-3.56,-5.35,2817,2610,1445,966,2150,394,1034,0.381,491,674,0.728,324,1248,565,0.449,69,358,617,,,,,,,
Maryland NCAA,34,23,148,16.01,10.09,2429,2228,1360,858,1909,247,707,0.349,466,627,0.743,378,1336,447,0.449,163,437,526,,,,,,,
Wisconsin NCAA,34,23,177,17.9,11.01,2333,2099,1385,874,1945,241,672,0.359,344,531,0.648,283,1197,430,0.449,140,327,511,,,,,,,
Lafayette,30,10,158,-11.17,-4.93,2209,2349,1220,802,1786,280,736,0.38,325,437,0.744,233,1004,419,0.449,126,402,515,,,,,,,
Clemson,34,20,223,13.85,8.99,2339,2174,1360,833,1857,217,661,0.328,456,623,0.732,309,1204,410,0.449,154,450,552,,,,,,,
Marist,31,12,172,-9.49,-7.53,2086,2147,1250,739,1647,245,675,0.363,363,530,0.685,241,967,377,0.449,53,387,583,,,,,,,
Eastern Michigan,32,15,237,0.4,4.43,2203,2213,1295,818,1823,187,634,0.295,380,604,0.629,400,1155,369,0.449,143,442,529,,,,,,,
North Florida,33,16,212,-3.47,-0.7,2485,2531,1325,902,2014,308,897,0.343,373,539,0.692,363,1252,520,0.448,165,536,573,,,,,,,
Michigan NCAA,37,30,225,21.82,10.55,2575,2158,1480,941,2102,287,839,0.342,406,579,0.701,299,1307,512,0.448,149,334,514,,,,,,,
Washington State,32,11,169,-1.67,2.2,2393,2517,1280,833,1861,301,828,0.364,426,564,0.755,276,1076,478,0.448,89,440,554,,,,,,,
