School,G,W,W-L%,PF,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,SRS,TRB,AST,STL,BLK,TOV,ORB,,,,,,,
Wright State,35,21,0.6,545,-0.89,2561,2365,1405,885,2028,0.436,281,818,0.344,510,692,0.737,3.29,1229,484,214,72,402,382,,,,,,,
Winthrop,30,18,0.6,535,-3.74,2499,2358,1210,855,1878,0.455,372,997,0.373,417,565,0.738,-2.89,1232,460,134,83,456,330,,,,,,,
Wichita State,37,22,0.595,705,5.91,2609,2542,1485,929,2277,0.408,276,890,0.31,475,655,0.725,7.72,1417,499,174,135,446,452,,,,,,,
Brigham Young,32,19,0.594,625,3.31,2527,2436,1295,878,1878,0.468,226,684,0.33,545,750,0.727,6.15,1118,482,203,107,354,263,,,,,,,
Louisiana,32,19,0.594,612,-1.51,2612,2575,1290,901,2026,0.445,283,821,0.345,527,710,0.742,-2.07,1142,487,226,125,423,364,,,,,,,
Duquesne,32,19,0.594,580,-0.63,2351,2314,1295,810,1894,0.428,271,841,0.322,460,663,0.694,0.53,1133,442,250,151,451,379,,,,,,,
North Carolina A&T,32,19,0.594,514,-9.88,2241,2209,1290,825,1797,0.459,227,649,0.35,364,548,0.664,-11.24,1059,452,215,108,417,291,,,,,,,
Florida International,34,20,0.588,655,-1.45,2798,2734,1360,986,2239,0.44,279,923,0.302,547,855,0.64,-4.55,1217,491,359,153,477,367,,,,,,,
Seton Hall NCAA,34,20,0.588,638,8.34,2508,2443,1375,888,2021,0.439,240,741,0.324,492,697,0.706,10.25,1213,459,235,132,423,361,,,,,,,
Baylor NCAA,34,20,0.588,636,9.26,2442,2302,1365,869,1966,0.442,274,803,0.341,430,635,0.677,13.38,1281,473,209,159,446,450,,,,,,,
Grand Canyon,34,20,0.588,598,-1.49,2560,2353,1370,907,2006,0.452,257,777,0.331,487,666,0.731,3.85,1238,478,207,75,411,350,,,,,,,
Louisville NCAA,34,20,0.588,591,11.04,2536,2324,1380,854,1967,0.434,294,860,0.342,534,687,0.777,17.28,1297,458,149,99,412,345,,,,,,,
Syracuse NCAA,34,20,0.588,588,10.09,2370,2246,1365,808,1907,0.424,274,824,0.333,480,701,0.685,13.73,1174,408,278,162,423,363,,,,,,,
Clemson,34,20,0.588,552,8.99,2339,2174,1360,833,1857,0.449,217,661,0.328,456,623,0.732,13.85,1204,410,223,154,450,309,,,,,,,
Western Kentucky,34,20,0.588,528,0.96,2429,2355,1380,853,1910,0.447,199,608,0.327,524,724,0.724,3.14,1256,417,235,174,466,338,,,,,,,
Oklahoma NCAA,34,20,0.588,527,12.21,2423,2318,1365,883,1975,0.447,226,654,0.346,431,618,0.697,15.3,1263,430,203,102,401,305,,,,,,,
Loyola (IL),34,20,0.588,471,-0.16,2231,2066,1360,831,1687,0.493,206,563,0.366,363,545,0.666,3.99,1013,468,220,78,407,190,,,,,,,
San Diego,36,21,0.583,667,3.61,2591,2455,1460,914,2002,0.457,284,808,0.351,479,641,0.747,6.12,1238,516,204,112,466,290,,,,,,,
Hawaii,31,18,0.581,556,-3.61,2241,2131,1250,788,1746,0.451,266,751,0.354,399,576,0.693,-1.3,1054,478,156,66,368,278,,,,,,,
Oregon State,31,18,0.581,536,4.29,2275,2165,1250,800,1728,0.463,203,633,0.321,472,636,0.742,7.84,1091,465,185,164,384,310,,,,,,,
New Orleans,33,19,0.576,631,-6.47,2384,2325,1345,862,1941,0.444,189,566,0.334,471,681,0.692,-8.88,1166,497,285,134,517,393,,,,,,,
Georgetown,33,19,0.576,581,5.31,2625,2576,1355,894,2017,0.443,269,757,0.355,568,771,0.737,6.8,1299,542,198,131,443,350,,,,,,,
Ohio State NCAA,35,20,0.571,623,11,2419,2318,1405,839,1931,0.434,264,774,0.341,477,650,0.734,13.89,1215,494,206,85,438,328,,,,,,,
Bradley NCAA,35,20,0.571,617,-0.9,2329,2285,1405,812,1874,0.433,240,653,0.368,465,672,0.692,-0.08,1195,423,186,132,440,313,,,,,,,
Creighton,35,20,0.571,580,8.59,2727,2561,1420,980,2044,0.479,372,961,0.387,395,582,0.679,12,1196,561,237,92,464,288,,,,,,,
Alabama-Birmingham,35,20,0.571,578,-1.52,2470,2370,1410,906,2003,0.452,234,694,0.337,424,630,0.673,0.36,1279,401,218,82,399,367,,,,,,,
Princeton,28,16,0.571,459,-0.89,1948,1951,1135,685,1666,0.411,207,679,0.305,371,502,0.739,-3.43,1016,295,168,72,354,272,,,,,,,
Texas,37,21,0.568,627,11.46,2628,2458,1495,929,2146,0.433,325,934,0.348,445,637,0.699,16.06,1264,486,227,152,401,358,,,,,,,
Tulsa,32,18,0.563,529,3.86,2296,2271,1290,776,1732,0.448,222,652,0.34,522,751,0.695,4.65,1119,430,176,76,404,239,,,,,,,
Presbyterian,36,20,0.556,617,-5.35,2817,2610,1445,966,2150,0.449,394,1034,0.381,491,674,0.728,-3.56,1248,565,214,69,358,324,,,,,,,
Florida NCAA,36,20,0.556,614,11.22,2440,2289,1455,857,2015,0.425,291,872,0.334,435,603,0.721,15.42,1201,437,257,131,420,375,,,,,,,
Green Bay,38,21,0.553,730,-0.36,3090,3036,1535,1106,2413,0.458,303,879,0.345,575,818,0.703,-2.24,1406,578,291,154,500,376,,,,,,,
Nevada-Las Vegas,31,17,0.548,556,0.48,2276,2242,1250,791,1852,0.427,251,745,0.337,443,647,0.685,1.58,1204,401,184,115,401,408,,,,,,,
Utah,31,17,0.548,548,5.1,2343,2311,1245,805,1735,0.464,298,806,0.37,435,616,0.706,6.13,1096,440,144,80,409,317,,,,,,,
Seattle,33,18,0.545,657,-3.85,2420,2283,1330,852,1945,0.438,238,642,0.371,478,668,0.716,-1.47,1221,386,141,118,403,336,,,,,,,
Weber State,33,18,0.545,609,-6.12,2617,2454,1330,920,1934,0.476,249,684,0.364,528,708,0.746,-4.37,1177,383,179,140,382,220,,,,,,,
Saint Francis (PA),33,18,0.545,598,-6.16,2517,2510,1320,885,2035,0.435,254,724,0.351,493,698,0.706,-8.74,1246,413,221,94,402,430,,,,,,,
Rhode Island,33,18,0.545,582,1.19,2293,2239,1335,821,1914,0.429,172,615,0.28,479,704,0.68,2.83,1194,401,235,129,405,375,,,,,,,
George Mason,33,18,0.545,563,0.08,2314,2289,1330,825,1855,0.445,210,637,0.33,454,634,0.716,0.84,1166,399,204,97,428,323,,,,,,,
Hartford,33,18,0.545,556,-4.89,2477,2407,1345,848,1862,0.455,322,846,0.381,459,619,0.742,-3.95,1050,462,228,69,401,278,,,,,,,
Purdue-Fort Wayne,33,18,0.545,495,-3.6,2728,2556,1330,991,2059,0.481,360,949,0.379,386,557,0.693,-3.47,1140,525,247,158,395,271,,,,,,,
Indiana,35,19,0.543,596,10.1,2504,2374,1420,919,2009,0.457,211,676,0.312,455,695,0.655,13.82,1272,469,226,154,433,341,,,,,,,
Xavier,35,19,0.543,550,8.06,2526,2472,1420,922,1977,0.466,245,740,0.331,437,644,0.679,9.61,1281,519,190,128,450,371,,,,,,,
Louisiana-Monroe,35,19,0.543,545,-1.96,2773,2637,1425,922,2029,0.454,353,891,0.396,576,737,0.782,0.81,1176,498,206,78,398,317,,,,,,,
North Dakota State NCAA,35,19,0.543,523,-2.07,2556,2541,1410,874,1926,0.454,332,910,0.365,476,613,0.777,-4.01,1105,402,160,87,368,229,,,,,,,
Texas-Rio Grande Valley,37,20,0.541,763,-1.61,2634,2623,1490,895,2139,0.418,203,636,0.319,641,923,0.694,-2.04,1215,503,345,105,471,358,,,,,,,
Arizona,32,17,0.531,594,6.32,2269,2205,1290,794,1861,0.427,235,699,0.336,446,620,0.719,8.32,1115,398,165,73,370,324,,,,,,,
Texas-San Antonio,32,17,0.531,581,0.05,2481,2407,1295,896,2068,0.433,294,855,0.344,395,536,0.737,0.69,1216,420,213,82,402,323,,,,,,,
Southern Illinois,32,17,0.531,474,-0.17,2194,2144,1280,802,1720,0.466,213,570,0.374,377,550,0.685,1.39,1081,438,212,129,447,289,,,,,,,
Cal State Bakersfield,34,18,0.529,747,-2.63,2412,2412,1375,887,2092,0.424,221,683,0.324,417,620,0.673,-5.12,1272,379,218,105,439,486,,,,,,,
Arkansas,34,18,0.529,693,8.78,2559,2458,1370,893,2004,0.446,259,751,0.345,514,769,0.668,11.75,1152,543,276,172,450,345,,,,,,,
North Carolina Central NCAA,34,18,0.529,610,-11.24,2429,2266,1365,874,1922,0.455,221,693,0.319,460,641,0.718,-11.53,1265,526,207,93,515,399,,,,,,,
Providence,34,18,0.529,600,6.71,2428,2374,1385,835,1973,0.423,225,690,0.326,533,771,0.691,8.29,1241,491,253,136,445,399,,,,,,,
Alabama,34,18,0.529,572,9.01,2448,2433,1365,856,1945,0.44,244,718,0.34,492,739,0.666,9.45,1285,418,157,160,465,384,,,,,,,
Charleston Southern,34,18,0.529,571,-4.19,2574,2369,1370,926,2156,0.429,324,945,0.343,398,588,0.677,-2.43,1277,487,263,110,441,407,,,,,,,
