School,G,W,TRB,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,FG%,AST,STL,BLK,TOV,PF,,,,,
North Carolina-Wilmington,33,10,1221,-8.1,-2.04,2515,2670,1335,880,1986,260,744,0.349,493,673,0.733,387,0.443,495,150,68,436,585,,,,,
Coppin State,33,8,1218,-18.9,-7.11,2118,2507,1330,710,1827,240,841,0.285,458,689,0.665,314,0.389,326,169,115,555,620,,,,,
Florida International,34,20,1217,-4.55,-1.45,2798,2734,1360,986,2239,279,923,0.302,547,855,0.64,367,0.44,491,359,153,477,655,,,,,
Texas-San Antonio,32,17,1216,0.69,0.05,2481,2407,1295,896,2068,294,855,0.344,395,536,0.737,323,0.433,420,213,82,402,581,,,,,
Central Florida NCAA,33,24,1215,13.37,5.58,2385,2128,1325,819,1763,229,628,0.365,518,798,0.649,315,0.465,439,189,150,393,554,,,,,
Mississippi State NCAA,34,23,1215,15.96,9.07,2628,2394,1370,936,1982,292,774,0.377,464,647,0.717,393,0.472,481,274,172,451,586,,,,,
Austin Peay,33,22,1215,0.59,-4.41,2712,2413,1335,973,2060,268,702,0.382,498,705,0.706,397,0.472,454,252,110,392,596,,,,,
Ohio State NCAA,35,20,1215,13.89,11,2419,2318,1405,839,1931,264,774,0.341,477,650,0.734,328,0.434,494,206,85,438,623,,,,,
Texas-Rio Grande Valley,37,20,1215,-2.04,-1.61,2634,2623,1490,895,2139,203,636,0.319,641,923,0.694,358,0.418,503,345,105,471,763,,,,,
Georgia,32,11,1215,5.31,8.12,2274,2364,1280,776,1761,210,653,0.322,512,726,0.705,357,0.441,423,185,163,506,565,,,,,
Drake,34,24,1214,2.52,-0.66,2563,2387,1385,908,1943,279,773,0.361,468,618,0.757,279,0.467,518,180,130,449,568,,,,,
Cal State Northridge,34,13,1214,-6.54,-3.39,2601,2701,1375,968,2103,234,648,0.361,431,676,0.638,352,0.46,512,225,154,410,641,,,,,
Seton Hall NCAA,34,20,1213,10.25,8.34,2508,2443,1375,888,2021,240,741,0.324,492,697,0.706,361,0.439,459,235,132,423,638,,,,,
Pittsburgh,33,14,1211,7.88,6.69,2306,2267,1330,769,1841,225,680,0.331,543,779,0.697,383,0.418,387,227,126,448,611,,,,,
Arkansas State,32,13,1211,-7.1,-1.23,2359,2475,1310,796,1904,237,709,0.334,530,721,0.735,403,0.418,363,183,139,448,684,,,,,
Rutgers,31,14,1210,8.89,9.76,2105,2132,1250,771,1842,191,612,0.312,372,584,0.637,391,0.419,390,201,124,408,566,,,,,
Virginia Commonwealth NCAA,33,25,1208,11.96,2.87,2344,2044,1330,820,1872,235,771,0.305,469,669,0.701,358,0.438,450,263,148,458,650,,,,,
Notre Dame,33,14,1208,7.97,8.28,2266,2276,1320,776,1973,272,863,0.315,442,594,0.744,370,0.393,423,179,148,306,455,,,,,
Youngstown State,32,12,1207,-7.78,-2.05,2415,2526,1305,879,2057,303,891,0.34,354,505,0.701,418,0.427,449,210,115,423,656,,,,,
UC-Santa Barbara,32,22,1204,-1.62,-5.55,2350,2114,1290,825,1819,204,594,0.343,496,693,0.716,379,0.454,431,159,106,355,558,,,,,
Clemson,34,20,1204,13.85,8.99,2339,2174,1360,833,1857,217,661,0.328,456,623,0.732,309,0.449,410,223,154,450,552,,,,,
Louisiana Tech,33,20,1204,0.95,-2.31,2386,2235,1335,840,1928,253,756,0.335,453,690,0.657,368,0.436,440,190,115,386,535,,,,,
Nevada-Las Vegas,31,17,1204,1.58,0.48,2276,2242,1250,791,1852,251,745,0.337,443,647,0.685,408,0.427,401,184,115,401,556,,,,,
Akron,33,17,1204,4.86,1.09,2271,2107,1325,797,1948,297,929,0.32,380,539,0.705,312,0.409,399,185,106,388,569,,,,,
Florida NCAA,36,20,1201,15.42,11.22,2440,2289,1455,857,2015,291,872,0.334,435,603,0.721,375,0.425,437,257,131,420,614,,,,,
New Mexico,32,14,1199,-0.55,1.61,2443,2454,1280,814,1927,292,844,0.346,523,745,0.702,351,0.422,446,220,107,455,627,,,,,
Wisconsin NCAA,34,23,1197,17.9,11.01,2333,2099,1385,874,1945,241,672,0.359,344,531,0.648,283,0.449,430,177,140,327,511,,,,,
Western Michigan,32,8,1197,-6.26,1.48,2246,2439,1300,774,1822,228,723,0.315,470,680,0.691,345,0.425,374,147,78,490,564,,,,,
Creighton,35,20,1196,12,8.59,2727,2561,1420,980,2044,372,961,0.387,395,582,0.679,288,0.479,561,237,92,464,580,,,,,
Long Island University,32,16,1196,-8.99,-9.08,2373,2337,1285,822,1880,277,813,0.341,452,643,0.703,321,0.437,430,218,157,471,610,,,,,
Bradley NCAA,35,20,1195,-0.08,-0.9,2329,2285,1405,812,1874,240,653,0.368,465,672,0.692,313,0.433,423,186,132,440,617,,,,,
Texas A&M,32,14,1195,7.21,8.59,2253,2297,1280,806,1842,204,663,0.308,437,631,0.693,372,0.438,376,215,142,444,521,,,,,
Vermont NCAA,34,27,1194,4.88,-4.18,2508,2143,1370,864,1887,273,761,0.359,507,678,0.748,304,0.458,399,188,136,377,568,,,,,
Rhode Island,33,18,1194,2.83,1.19,2293,2239,1335,821,1914,172,615,0.28,479,704,0.68,375,0.429,401,235,129,405,582,,,,,
Longwood,34,16,1194,-8.43,-6.62,2407,2408,1375,803,1875,333,939,0.355,468,639,0.732,284,0.428,401,210,71,477,624,,,,,
