School,G,W,FG%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,,,,
Dartmouth,30,11,0.452,-5.75,-3,2160,2116,1210,791,1750,264,721,0.366,314,436,0.72,246,1020,426,158,100,361,468,,,,,
Columbia,28,10,0.452,-5.18,-2.14,2059,2052,1160,778,1720,237,655,0.362,266,377,0.706,255,985,443,218,78,366,539,,,,,
Washington NCAA,36,27,0.451,12.01,7.01,2511,2331,1445,883,1956,273,780,0.35,472,679,0.695,334,1129,419,323,206,479,653,,,,,
Purdue NCAA,36,26,0.451,21.4,11.99,2760,2421,1460,967,2145,365,977,0.374,461,641,0.719,421,1341,518,220,143,381,625,,,,,
Oregon NCAA,38,25,0.451,13.95,6.13,2661,2364,1530,958,2126,295,840,0.351,450,624,0.721,361,1307,501,290,162,442,665,,,,,
Hawaii,31,18,0.451,-1.3,-3.61,2241,2131,1250,788,1746,266,751,0.354,399,576,0.693,278,1054,478,156,66,368,556,,,,,
Mercer,31,11,0.451,-2.86,-0.24,2248,2246,1245,787,1746,228,663,0.344,446,648,0.688,307,1057,393,207,80,407,557,,,,,
Auburn NCAA,40,30,0.45,20.84,10.92,3188,2750,1615,1097,2439,454,1204,0.377,540,760,0.711,457,1369,572,369,190,466,731,,,,,
Davidson,34,24,0.45,6.38,1.96,2409,2229,1365,852,1893,312,882,0.354,393,525,0.749,264,1185,499,175,82,378,539,,,,,
Bucknell,33,21,0.45,0.59,-2.93,2534,2418,1325,867,1928,311,885,0.351,489,653,0.749,286,1154,519,173,116,409,627,,,,,
St. John's (NY) NCAA,34,21,0.45,7.88,5.5,2623,2542,1375,944,2100,289,809,0.357,446,620,0.719,264,1120,472,302,111,357,650,,,,,
Valparaiso,33,15,0.45,-3.38,-1,2205,2187,1335,802,1783,185,585,0.316,416,595,0.699,294,1115,431,202,101,439,546,,,,,
Troy,30,12,0.45,-6.12,-1.01,2179,2242,1210,773,1719,236,704,0.335,397,550,0.722,277,1021,392,171,135,408,523,,,,,
Maryland NCAA,34,23,0.449,16.01,10.09,2429,2228,1360,858,1909,247,707,0.349,466,627,0.743,378,1336,447,148,163,437,526,,,,,
Wisconsin NCAA,34,23,0.449,17.9,11.01,2333,2099,1385,874,1945,241,672,0.359,344,531,0.648,283,1197,430,177,140,327,511,,,,,
Clemson,34,20,0.449,13.85,8.99,2339,2174,1360,833,1857,217,661,0.328,456,623,0.732,309,1204,410,223,154,450,552,,,,,
Presbyterian,36,20,0.449,-3.56,-5.35,2817,2610,1445,966,2150,394,1034,0.381,491,674,0.728,324,1248,565,214,69,358,617,,,,,
Eastern Michigan,32,15,0.449,0.4,4.43,2203,2213,1295,818,1823,187,634,0.295,380,604,0.629,400,1155,369,237,143,442,529,,,,,
Marist,31,12,0.449,-9.49,-7.53,2086,2147,1250,739,1647,245,675,0.363,363,530,0.685,241,967,377,172,53,387,583,,,,,
Lafayette,30,10,0.449,-11.17,-4.93,2209,2349,1220,802,1786,280,736,0.38,325,437,0.744,233,1004,419,158,126,402,515,,,,,
Michigan NCAA,37,30,0.448,21.82,10.55,2575,2158,1480,941,2102,287,839,0.342,406,579,0.701,299,1307,512,225,149,334,514,,,,,
Tulsa,32,18,0.448,4.65,3.86,2296,2271,1290,776,1732,222,652,0.34,522,751,0.695,239,1119,430,176,76,404,529,,,,,
North Florida,33,16,0.448,-3.47,-0.7,2485,2531,1325,902,2014,308,897,0.343,373,539,0.692,363,1252,520,212,165,536,573,,,,,
Sacramento State,31,15,0.448,-8.78,-6.78,2197,2155,1250,806,1800,175,527,0.332,410,592,0.693,308,1050,431,239,104,404,566,,,,,
Washington State,32,11,0.448,-1.67,2.2,2393,2517,1280,833,1861,301,828,0.364,426,564,0.755,276,1076,478,169,89,440,554,,,,,
Arizona State NCAA,34,23,0.447,10.28,6.04,2638,2494,1380,899,2012,240,714,0.336,600,882,0.68,399,1351,459,213,109,466,675,,,,,
Oklahoma NCAA,34,20,0.447,15.3,12.21,2423,2318,1365,883,1975,226,654,0.346,431,618,0.697,305,1263,430,203,102,401,527,,,,,
Western Kentucky,34,20,0.447,3.14,0.96,2429,2355,1380,853,1910,199,608,0.327,524,724,0.724,338,1256,417,235,174,466,528,,,,,
California Baptist,31,16,0.447,-3.89,-4.12,2403,2241,1260,831,1859,287,800,0.359,454,576,0.788,306,1171,345,148,85,379,623,,,,,
Rider,31,16,0.447,-4.96,-6.51,2381,2333,1245,847,1893,222,651,0.341,465,755,0.616,363,1144,450,282,101,415,591,,,,,
Citadel,30,12,0.447,-7.94,0.03,2553,2584,1210,899,2011,370,1076,0.344,385,523,0.736,322,1107,462,201,110,386,528,,,,,
Idaho State,30,11,0.447,-13.17,-4.81,2198,2369,1200,779,1742,274,752,0.364,366,498,0.735,275,975,383,154,88,360,497,,,,,
Houston NCAA,37,33,0.446,18.91,4.61,2787,2258,1480,982,2203,333,939,0.355,490,697,0.703,448,1502,548,240,161,410,705,,,,,
Arkansas,34,18,0.446,11.75,8.78,2559,2458,1370,893,2004,259,751,0.345,514,769,0.668,345,1152,543,276,172,450,693,,,,,
Connecticut,33,16,0.446,6.81,4.32,2436,2354,1325,874,1959,252,732,0.344,436,641,0.68,380,1167,422,200,145,427,643,,,,,
Tennessee-Martin,31,12,0.446,-10.94,-4.32,2356,2486,1250,854,1915,250,726,0.344,398,528,0.754,351,1062,441,223,88,418,490,,,,,
Louisiana,32,19,0.445,-2.07,-1.51,2612,2575,1290,901,2026,283,821,0.345,527,710,0.742,364,1142,487,226,125,423,612,,,,,
George Mason,33,18,0.445,0.84,0.08,2314,2289,1330,825,1855,210,637,0.33,454,634,0.716,323,1166,399,204,97,428,563,,,,,
Butler,33,16,0.445,9.22,8.1,2374,2337,1330,861,1934,292,827,0.353,360,488,0.738,288,1058,434,193,62,359,593,,,,,
Santa Clara,31,16,0.445,-1.91,0.92,2115,2172,1255,735,1653,239,663,0.36,406,567,0.716,242,1026,416,146,111,433,597,,,,,
Texas State,34,24,0.444,1.54,-3,2470,2204,1370,876,1971,244,744,0.328,474,694,0.683,409,1291,493,234,84,455,667,,,,,
NJIT,35,22,0.444,-3.63,-4.74,2472,2401,1410,849,1913,246,713,0.345,528,732,0.721,250,1178,376,223,94,421,582,,,,,
New Orleans,33,19,0.444,-8.88,-6.47,2384,2325,1345,862,1941,189,566,0.334,471,681,0.692,393,1166,497,285,134,517,631,,,,,
High Point,31,16,0.444,-5.63,-4.39,2115,2105,1255,763,1719,180,583,0.309,409,605,0.676,363,1183,404,170,91,406,502,,,,,
Pepperdine,34,16,0.444,0.9,0.63,2572,2529,1370,865,1949,313,819,0.382,529,696,0.76,290,1085,479,229,95,432,639,,,,,
